,period,timestep,objective,stores,generators
0,2025,2025-02-26 00:00:00,13.035714285714286,1.0,13.035714285714286
1,2025,2025-02-26 01:00:00,13.035714285714286,1.0,13.035714285714286
2,2025,2025-02-26 02:00:00,13.035714285714286,1.0,13.035714285714286
3,2025,2025-02-26 03:00:00,13.035714285714286,1.0,13.035714285714286
4,2025,2025-02-26 04:00:00,13.035714285714286,1.0,13.035714285714286
5,2025,2025-02-26 05:00:00,13.035714285714286,1.0,13.035714285714286
6,2025,2025-02-26 06:00:00,13.035714285714286,1.0,13.035714285714286
7,2025,2025-02-26 07:00:00,13.035714285714286,1.0,13.035714285714286
8,2025,2025-02-26 08:00:00,13.035714285714286,1.0,13.035714285714286
9,2025,2025-02-26 09:00:00,13.035714285714286,1.0,13.035714285714286
10,2025,2025-02-26 10:00:00,13.035714285714286,1.0,13.035714285714286
11,2025,2025-02-26 11:00:00,13.035714285714286,1.0,13.035714285714286
12,2025,2025-02-26 12:00:00,13.035714285714286,1.0,13.035714285714286
13,2025,2025-02-26 13:00:00,13.035714285714286,1.0,13.035714285714286
14,2025,2025-02-26 14:00:00,13.035714285714286,1.0,13.035714285714286
15,2025,2025-02-26 15:00:00,13.035714285714286,1.0,13.035714285714286
16,2025,2025-02-26 16:00:00,13.035714285714286,1.0,13.035714285714286
17,2025,2025-02-26 17:00:00,13.035714285714286,1.0,13.035714285714286
18,2025,2025-02-26 18:00:00,13.035714285714286,1.0,13.035714285714286
19,2025,2025-02-26 19:00:00,13.035714285714286,1.0,13.035714285714286
20,2025,2025-02-26 20:00:00,13.035714285714286,1.0,13.035714285714286
21,2025,2025-02-26 21:00:00,13.035714285714286,1.0,13.035714285714286
22,2025,2025-02-26 22:00:00,13.035714285714286,1.0,13.035714285714286
23,2025,2025-02-26 23:00:00,13.035714285714286,1.0,13.035714285714286
24,2025,2025-02-27 00:00:00,13.035714285714286,1.0,13.035714285714286
25,2025,2025-02-27 01:00:00,13.035714285714286,1.0,13.035714285714286
