,PL solar PV ground HMV vRES 2020,PL solar PV ground HMV vRES 2025,PL wind onshore HMV vRES 2025,PL wind onshore old HMV vRES 2025
142,0.0,0.0,0.4054087154780059,0.37720245469964186
143,0.0,0.0,0.404426235154603,0.37720245469964186
144,0.0,0.0,0.4103256874454366,0.3810903868922883
145,0.0,0.0,0.41426474943988123,0.3810903868922883
146,0.0,0.0,0.419195432458562,0.3830379296207611
147,0.0,0.0,0.41327952690622843,0.36945520337154564
148,0.0,0.0,0.40344405952122797,0.3512083824917117
149,0.0,0.0,0.4024621885778807,0.3445401151235854
150,0.006370069466647288,0.007498482912814551,0.404426235154603,0.3454909364315287
151,0.12295746450370582,0.14098691215498643,0.3721753155878926,0.3237728610044746
152,0.3013991030373491,0.3336612624730305,0.32202904971688756,0.2803730393157078
153,0.45666704665019614,0.4922052451231373,0.33833237596837556,0.3116369157212778
154,0.5621844431405318,0.5959798286586252,0.2530215554958627,0.2199125798870262
155,0.6149776708690597,0.6468392833443262,0.2576962988912108,0.2268825098279466
156,0.6149776708690597,0.6468392833443262,0.2736474034705887,0.24270434084885134
157,0.5548753396308675,0.5888847198864208,0.28874064594792453,0.2614072488507824
158,0.4436590366589158,0.4792027805104357,0.2991624966202178,0.27492741729889303
159,0.2845895109722424,0.31602754183761306,0.2849600227679239,0.2641005526439558
160,0.11612404784914979,0.13334586087666148,0.3067651808239967,0.28766725057152365
161,0.00238569528411568,0.0028109831643432863,0.35472375763789116,0.32283575011977145
162,0.0,0.0,0.38777068723100483,0.3426402608237737
163,0.0,0.0,0.4024621885778807,0.3464423538448302
164,0.0,0.0,0.386793691328102,0.32096331666643985
165,0.0,0.0,0.35472375763789116,0.2803730393157078
166,0.0,0.0,0.3105738354865527,0.23213499370868404
167,0.0,0.0,0.26988628045236585,0.194966394375898
168,0.0,0.0,0.5041824831323815,0.44055389206985107
169,0.0,0.0,0.4569175551532294,0.3781735435897661
170,0.0,0.0,0.39853775170476935,0.3172256030240759
171,0.0,0.0,0.35762549510393304,0.279463945382843
172,0.0047750874872838234,0.005623103842241178,0.31152676087726117,0.24447424418056157
173,0.03536071094317685,0.04134175721328519,0.33737091925688933,0.2533595271606086
174,0.10592321512134861,0.12189945080656883,0.29442072141875875,0.21817605845537874
175,0.17152747874582178,0.1947007626910221,0.23625555010835933,0.17553795962993454
176,0.230424464939689,0.25851521998144283,0.1966030270985307,0.14903166661169215
177,0.29391174247929075,0.32581899768593564,0.17562479777784462,0.13358236817818944
178,0.34018444314053187,0.3739798286586252,0.1449087468972245,0.1159625503507106
179,0.36803490669960753,0.4026261251383408,0.13683698506684694,0.11358220187062563
180,0.38160359947682015,0.416493415223637,0.12789730636351068,0.10254484550119589
181,0.3555074961851475,0.3897715372877377,0.12254812426284224,0.10019489839438236
182,0.3155087616988809,0.3483873112919634,0.11276977892921392,0.09317724676328805
183,0.23314411524487716,0.2614289585368853,0.10568141149232252,0.08852563708368037
184,0.13411783650632172,0.15342087277117594,0.10037793289582062,0.08082064271299536
185,0.05992623993605578,0.06966961228801717,0.08277889031470291,0.06634538043489543
186,0.015171840321174242,0.017822104714207462,0.0696595895111561,0.057313985119048304
187,0.0,0.0,0.06704395598119671,0.05357623821517154
188,0.0,0.0,0.0635607102683064,0.05208531219112868
189,0.0,0.0,0.06182091555202791,0.05283047715047098
190,0.0,0.0,0.06269066056515325,0.059563786525673526
191,0.0,0.0,0.0696595895111561,0.06634538043489543
192,0.0,0.0,0.07227796525136547,0.06861664163441815
193,0.0,0.0,0.07664801861893664,0.0701337962942246
194,0.0,0.0,0.08277889031470291,0.0731752588781367
195,0.0,0.0,0.09068337731983091,0.08158845967595167
196,0.00796669452114518,0.00937436754496775,0.09596674637449956,0.08775245517249969
197,0.042691551990989667,0.04982816984338144,0.07140486864793458,0.07165333537546412
198,0.16188527496003485,0.1841185461415492,0.048811303158480784,0.05208531219112868
199,0.3060920533716029,0.3385667856528009,0.0635607102683064,0.06106663465688167
200,0.43072044659206504,0.46622167587448154,0.09861254421720886,0.08697986936667726
201,0.4516557505086469,0.487201769387276,0.11720991100317378,0.107260834559496
202,0.4637001135372765,0.49921541954993126,0.08892469182183026,0.07928679710315752
203,0.4257625503923847,0.4612346308899646,0.09861254421720886,0.08082064271299536
204,0.36224439877924713,0.39669058423976833,0.1047967366678361,0.08543648607110722
205,0.32401891992442955,0.3572365907459783,0.11720991100317378,0.10097761799129526
206,0.2799437990481034,0.31113655355326264,0.12611302690317677,0.10962687651098263
207,0.21418419840866149,0.24105667643343434,0.12522134420805148,0.1104167493721947
208,0.14361544968027898,0.1639585999016243,0.11987764652788303,0.10019489839438236
209,0.062403125890132236,0.07250865412004069,0.09861254421720886,0.07928679710315752
210,0.015974465920651066,0.0187613741294311,0.0968483742987082,0.07241399907412127
211,0.0,0.0,0.12076750108284166,0.0831258819179391
212,0.0,0.0,0.14850411854033674,0.10176093369356644
213,0.0,0.0,0.18108184014834608,0.13519847632746768
214,0.0,0.0,0.21958826428985564,0.1797347076596743
215,0.0,0.0,0.21958826428985564,0.18732640875077647
216,0.0,0.0,0.2269837592747462,0.194966394375898
217,0.0,0.0,0.2269837592747462,0.19581826219436949
218,0.0,0.0,0.22328357426207873,0.19156488415559467
219,0.0,0.0,0.22513305738835693,0.194966394375898
220,0.0047750874872838234,0.005623103842241178,0.2223592897339813,0.19667072611819925
221,0.02968194873564888,0.034748291918661196,0.1975187803058504,0.18310283597991484
222,0.10000004548757445,0.115230783226946,0.1359416460913883,0.13035730514393215
223,0.1724065073390495,0.19566354071970754,0.12165766032782807,0.1104167493721947
224,0.2697593804679552,0.30038750168244777,0.15390631670583835,0.12794476697450097
225,0.39134481514314773,0.4264137892748147,0.26331604573654516,0.2060871722339719
226,0.3632084565106815,0.3976795250802097,0.2558254874629882,0.2060871722339719
227,0.287381867352129,0.31896365149296285,0.2614415780279893,0.22078173476088736
228,0.2725320199462287,0.30331754459883964,0.2642537366258648,0.22252183282468435
229,0.2376850811291963,0.266287717270522,0.2520875208868764,0.20436972617378887
230,0.1980770209635227,0.2236390833733916,0.2297620972795385,0.1839463583233706
231,0.13842877187182093,0.15820885288363723,0.20577427022297742,0.16386634715931225
232,0.09409700352419703,0.10856830877667603,0.18654985135984756,0.14494519807323114
233,0.049235787421886335,0.05738024228365734,0.18108184014834608,0.13439012420014942
