,PL electricity HMV final use HMV 2025,PL electricity LV final use LV 2025
0,7870.684931506849,5710.684931506849
1,7488.082191780822,5433.082191780822
2,7287.6712328767135,5287.671232876713
3,7233.013698630138,5248.013698630137
4,7233.013698630138,5248.013698630137
5,7287.6712328767135,5287.671232876713
6,7205.68493150685,5228.184931506849
7,7433.424657534247,5393.424657534246
8,7934.452054794521,5756.95205479452
9,8435.479452054795,6120.479452054795
10,8745.205479452055,6345.2054794520545
11,8909.178082191782,6464.17808219178
12,8954.72602739726,6497.22602739726
13,8991.164383561645,6523.664383561643
14,8845.410958904109,6417.910958904109
15,8599.452054794521,6239.452054794519
16,8635.890410958904,6265.890410958904
17,9255.342465753425,6715.342465753424
18,9965.890410958906,7230.890410958904
19,10093.424657534248,7323.424657534247
20,9838.356164383564,7138.356164383562
21,9346.438356164384,6781.438356164384
22,8927.397260273972,6477.397260273972
23,8253.287671232878,5988.287671232876
24,7797.808219178082,5657.808219178081
25,7606.506849315068,5519.0068493150675
26,7497.191780821918,5439.691780821917
27,7506.301369863014,5446.301369863013
28,7679.3835616438355,5571.8835616438355
29,8116.643835616439,5889.143835616438
30,9328.219178082192,6768.219178082191
31,10339.383561643835,7501.8835616438355
32,10949.72602739726,7944.72602739726
33,11213.904109589042,8136.404109589042
34,11159.246575342468,8096.746575342466
35,11268.561643835617,8176.061643835616
36,11241.232876712329,8156.232876712328
37,11323.219178082194,8215.719178082192
38,11122.808219178083,8070.308219178082
39,10931.506849315068,7931.5068493150675
40,10885.95890410959,7898.458904109589
41,11459.86301369863,8314.86301369863
42,11951.78082191781,8671.780821917808
43,11951.78082191781,8671.780821917808
44,11605.616438356165,8420.616438356165
45,10840.410958904109,7865.410958904109
46,10029.657534246575,7277.157534246575
47,9328.219178082192,6768.219178082191
48,8781.643835616438,6371.643835616438
49,8444.589041095891,6127.08904109589
50,8280.616438356165,6008.1164383561645
51,8317.054794520549,6034.554794520548
52,8490.136986301372,6160.13698630137
53,8799.86301369863,6384.863013698629
54,9719.931506849316,7052.431506849314
55,10721.986301369863,7779.486301369863
56,11223.013698630137,8143.013698630137
57,11405.205479452055,8275.205479452054
58,11414.31506849315,8281.81506849315
59,11550.95890410959,8380.958904109588
60,11587.397260273974,8407.397260273972
61,11660.273972602741,8460.27397260274
62,11478.082191780823,8328.08219178082
63,11332.328767123288,8222.328767123287
64,11314.109589041096,8209.109589041096
65,11824.246575342468,8579.246575342466
66,12152.191780821919,8817.191780821919
67,12061.09589041096,8751.09589041096
68,11614.72602739726,8427.226027397259
69,10876.849315068494,7891.849315068493
70,10002.328767123288,7257.328767123287
71,9319.109589041096,6761.609589041095
72,8781.643835616438,6371.643835616438
73,8408.150684931508,6100.6506849315065
74,8289.72602739726,6014.72602739726
75,8298.835616438357,6021.335616438356
76,8399.041095890412,6094.041095890411
77,8754.315068493152,6351.81506849315
78,9619.72602739726,6979.726027397261
79,10503.356164383562,7620.856164383561
80,10949.72602739726,7944.72602739726
81,11122.808219178083,8070.308219178082
82,11159.246575342468,8096.746575342466
83,11195.68493150685,8123.184931506849
84,11177.46575342466,8109.965753424658
85,11204.794520547946,8129.794520547945
86,11013.493150684933,7990.993150684932
87,10776.64383561644,7819.143835616438
88,10676.438356164383,7746.438356164383
89,11195.68493150685,8123.184931506849
90,11833.356164383562,8585.85616438356
91,11815.13698630137,8572.63698630137
92,11487.191780821917,8334.691780821917
93,10758.424657534248,7805.924657534247
94,9947.671232876713,7217.671232876713
95,9191.575342465752,6669.075342465752
96,8590.342465753425,6232.842465753424
97,8225.95890410959,5968.458904109589
98,8107.534246575343,5882.534246575342
99,8089.315068493152,5869.315068493151
100,8189.520547945206,5942.020547945205
101,8517.465753424658,6179.965753424657
102,9373.767123287671,6801.26712328767
103,10339.383561643835,7501.8835616438355
104,10794.863013698632,7832.36301369863
105,10995.273972602741,7977.773972602739
106,10986.164383561643,7971.164383561643
107,11159.246575342468,8096.746575342466
108,11241.232876712329,8156.232876712328
109,11286.78082191781,8189.280821917809
110,11204.794520547946,8129.794520547945
111,11031.712328767124,8004.212328767123
112,11059.041095890412,8024.04109589041
113,11505.410958904109,8347.910958904109
114,11778.698630136987,8546.198630136985
115,11787.808219178083,8552.808219178081
116,11432.534246575342,8295.034246575342
117,10667.328767123288,7739.828767123287
118,9838.356164383564,7138.356164383562
119,9146.027397260275,6636.027397260274
120,8553.90410958904,6206.404109589041
121,8180.41095890411,5935.410958904109
122,8071.095890410959,5856.095890410958
123,8107.534246575343,5882.534246575342
124,8134.86301369863,5902.36301369863
125,8426.369863013699,6113.869863013699
126,9282.671232876712,6735.171232876712
127,10257.397260273972,7442.397260273971
128,10813.082191780823,7845.582191780822
129,11004.383561643835,7984.383561643835
130,10977.054794520549,7964.554794520548
131,11122.808219178083,8070.308219178082
132,11195.68493150685,8123.184931506849
133,11213.904109589042,8136.404109589042
134,11004.383561643835,7984.383561643835
135,10731.09589041096,7786.095890410958
136,10640.0,7719.999999999999
137,10995.273972602741,7977.773972602739
138,11605.616438356165,8420.616438356165
139,11669.383561643835,8466.883561643834
140,11241.232876712329,8156.232876712328
141,10548.90410958904,7653.90410958904
142,9865.68493150685,7158.184931506848
143,9127.808219178083,6622.808219178082
144,8553.90410958904,6206.404109589041
145,8198.630136986301,5948.630136986301
146,8016.4383561643845,5816.438356164384
147,7961.780821917809,5776.780821917808
148,7943.561643835616,5763.561643835616
149,8007.328767123288,5809.828767123287
150,8034.657534246576,5829.657534246575
151,8663.219178082192,6285.719178082191
152,9282.671232876712,6735.171232876712
153,9756.369863013699,7078.869863013698
154,9893.013698630139,7178.013698630137
155,9893.013698630139,7178.013698630137
156,9838.356164383564,7138.356164383562
157,9811.027397260274,7118.527397260274
158,9492.191780821919,6887.191780821918
159,9209.794520547945,6682.294520547945
