node,resource_name,resource_code,direction,pol_min_power_of_unit,pol_min_power_of_unit_plant,pol_max_power_of_unit_plant,pol_max_power_of_unit,from_dtime,from_dtime_utc,to_dtime,to_dtime_utc,time_conditions,limiting_element,add_cond,business_date,publication_ts,publication_ts_utc,year,month,period
,,"Dolna Odra B5, Dolna Odra B6, Dolna Odra B7, Dolna Odra B8",,,1.0,,,,,,,,,,2026-01-24,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Dolna Odra B5, Dolna Odra B6, Dolna Odra B7, Dolna Odra B8",,,1.0,,,,,,,,,,2026-01-25,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Dolna Odra B5, Dolna Odra B6, Dolna Odra B7, Dolna Odra B8",,,1.0,,,,,,,,,,2026-01-26,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Dolna Odra B5, Dolna Odra B6, Dolna Odra B7, Dolna Odra B8",,,1.0,,,,,,,,,,2026-01-27,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Dolna Odra B5, Dolna Odra B6, Dolna Odra B7, Dolna Odra B8",,,1.0,,,,,,,,,,2026-01-28,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Gryfino Blok 10, Gryfino Blok 9",,,2.0,,,,,,,,,,2026-01-19,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Gryfino Blok 10, Gryfino Blok 9",,,2.0,,,,,,,,,,2026-01-20,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Gryfino Blok 10, Gryfino Blok 9",,,2.0,,,,,,,,,,2026-01-21,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Gryfino Blok 10, Gryfino Blok 9",,,2.0,,,,,,,,,,2026-01-22,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Gryfino Blok 10, Gryfino Blok 9",,,2.0,,,,,,,,,,2026-01-23,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Gryfino Blok 10, Gryfino Blok 9",,,2.0,,,,,,,,,,2026-01-24,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Gryfino Blok 10, Gryfino Blok 9",,,2.0,,,,,,,,,,2026-01-25,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Gryfino Blok 10, Gryfino Blok 9",,,2.0,,,,,,,,,,2026-01-26,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Gryfino Blok 10, Gryfino Blok 9",,,2.0,,,,,,,,,,2026-01-27,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Gryfino Blok 10, Gryfino Blok 9",,,2.0,,,,,,,,,,2026-01-28,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Kozienice 1 B2, Kozienice 1 B6",,,2.0,,,,,,,,,,2026-01-20,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
